,n_sim,n_p,n_p_f
9348,2337,2,1
9349,2337,3,1
9350,2337,5,1
9351,2337,6,1
9352,2338,2,1
9353,2338,3,1
9354,2338,5,1
9355,2338,6,1
9356,2339,2,2
9357,2339,3,2
9358,2339,5,2
9359,2339,6,2
9360,2340,2,2
9361,2340,3,2
9362,2340,5,1
9363,2340,6,1
9364,2341,2,1
9365,2341,3,2
9366,2341,5,1
9367,2341,6,1
9368,2342,2,1
9369,2342,3,2
9370,2342,5,1
9371,2342,6,2
9372,2343,2,2
9373,2343,3,1
9374,2343,5,1
9375,2343,6,2
9376,2344,2,2
9377,2344,3,2
9378,2344,5,1
9379,2344,6,2
9380,2345,2,1
9381,2345,3,1
9382,2345,5,1
9383,2345,6,2
9384,2346,2,2
9385,2346,3,2
9386,2346,5,2
9387,2346,6,1
9388,2347,2,1
9389,2347,3,2
9390,2347,5,2
9391,2347,6,2
9392,2348,2,2
9393,2348,3,1
9394,2348,5,1
9395,2348,6,1
9396,2349,2,2
9397,2349,3,3
9398,2349,5,1
9399,2349,6,2
9400,2350,2,1
9401,2350,3,2
9402,2350,5,2
9403,2350,6,1
9404,2351,2,1
9405,2351,3,1
9406,2351,5,2
9407,2351,6,2
9408,2352,2,1
9409,2352,3,2
9410,2352,5,1
9411,2352,6,1
9412,2353,2,1
9413,2353,3,1
9414,2353,5,1
9415,2353,6,2
9416,2354,2,1
9417,2354,3,2
9418,2354,5,1
9419,2354,6,2
9420,2355,2,2
9421,2355,3,1
9422,2355,5,2
9423,2355,6,1
9424,2356,2,2
9425,2356,3,2
9426,2356,5,1
9427,2356,6,2
9428,2357,2,1
9429,2357,3,1
9430,2357,5,2
9431,2357,6,1
9432,2358,2,1
9433,2358,3,2
9434,2358,5,2
9435,2358,6,2
9436,2359,2,1
9437,2359,3,2
9438,2359,5,2
9439,2359,6,1
9440,2360,2,1
9441,2360,3,1
9442,2360,5,1
9443,2360,6,1
9444,2361,2,2
9445,2361,3,1
9446,2361,5,1
9447,2361,6,2
9448,2362,2,2
9449,2362,3,1
9450,2362,5,1
9451,2362,6,1
9452,2363,2,2
9453,2363,3,1
9454,2363,5,1
9455,2363,6,1
9456,2364,2,1
9457,2364,3,2
9458,2364,5,2
9459,2364,6,2
9460,2365,2,1
9461,2365,3,1
9462,2365,5,2
9463,2365,6,2
9464,2366,2,2
9465,2366,3,1
9466,2366,5,1
9467,2366,6,2
9468,2367,2,1
9469,2367,3,1
9470,2367,5,1
9471,2367,6,1
9472,2368,2,2
9473,2368,3,1
9474,2368,5,2
9475,2368,6,1
9476,2369,2,2
9477,2369,3,1
9478,2369,5,1
9479,2369,6,1
9480,2370,2,2
9481,2370,3,1
9482,2370,5,2
9483,2370,6,1
9484,2371,2,1
9485,2371,3,2
9486,2371,5,2
9487,2371,6,2
9488,2372,2,1
9489,2372,3,1
9490,2372,5,2
9491,2372,6,2
9492,2373,2,1
9493,2373,3,2
9494,2373,5,1
9495,2373,6,1
9496,2374,2,1
9497,2374,3,1
9498,2374,5,1
9499,2374,6,1
9500,2375,2,2
9501,2375,3,1
9502,2375,5,2
9503,2375,6,1
9504,2376,2,1
9505,2376,3,2
9506,2376,5,2
9507,2376,6,2
9508,2377,2,1
9509,2377,3,2
9510,2377,5,1
9511,2377,6,2
9512,2378,2,2
9513,2378,3,1
9514,2378,5,1
9515,2378,6,2
9516,2379,2,2
9517,2379,3,1
9518,2379,5,1
9519,2379,6,1
9520,2380,2,1
9521,2380,3,2
9522,2380,5,2
9523,2380,6,2
9524,2381,2,2
9525,2381,3,1
9526,2381,5,2
9527,2381,6,2
9528,2382,2,2
9529,2382,3,2
9530,2382,5,1
9531,2382,6,1
9532,2383,2,2
9533,2383,3,1
9534,2383,5,1
9535,2383,6,1
9536,2384,2,2
9537,2384,3,1
9538,2384,5,1
9539,2384,6,2
9540,2385,2,1
9541,2385,3,1
9542,2385,5,1
9543,2385,6,2
9544,2386,2,2
9545,2386,3,1
9546,2386,5,1
9547,2386,6,2
9548,2387,2,1
9549,2387,3,1
9550,2387,5,1
9551,2387,6,1
9552,2388,2,1
9553,2388,3,1
9554,2388,5,1
9555,2388,6,1
9556,2389,2,1
9557,2389,3,1
9558,2389,5,1
9559,2389,6,1
9560,2390,2,1
9561,2390,3,1
9562,2390,5,1
9563,2390,6,3
9564,2391,2,1
9565,2391,3,1
9566,2391,5,1
9567,2391,6,1
9568,2392,2,2
9569,2392,3,1
9570,2392,5,2
9571,2392,6,1
9572,2393,2,1
9573,2393,3,2
9574,2393,5,2
9575,2393,6,2
9576,2394,2,1
9577,2394,3,2
9578,2394,5,2
9579,2394,6,1
9580,2395,2,2
9581,2395,3,1
9582,2395,5,2
9583,2395,6,1
9584,2396,2,1
9585,2396,3,1
9586,2396,5,1
9587,2396,6,2
9588,2397,2,1
9589,2397,3,2
9590,2397,5,3
9591,2397,6,1
9592,2398,2,2
9593,2398,-1,-1
9594,2398,5,1
9595,2398,6,2
9596,2399,2,2
9597,2399,3,2
9598,2399,5,1
9599,2399,6,1
9600,2400,2,1
9601,2400,3,1
9602,2400,5,2
9603,2400,6,2
9604,2401,2,1
9605,2401,3,1
9606,2401,5,1
9607,2401,6,1
9608,2402,2,1
9609,2402,3,2
9610,2402,5,1
9611,2402,6,2
9612,2403,2,2
9613,2403,3,3
9614,2403,5,2
9615,2403,6,1
9616,2404,2,1
9617,2404,3,2
9618,2404,5,2
9619,2404,6,2
9620,2405,2,1
9621,2405,3,3
9622,2405,5,2
9623,2405,6,1
9624,2406,2,1
9625,2406,3,2
9626,2406,5,2
9627,2406,6,2
9628,2407,2,2
9629,2407,3,1
9630,2407,5,2
9631,2407,6,2
9632,2408,2,1
9633,2408,3,1
9634,2408,5,1
9635,2408,6,2
9636,2409,2,1
9637,2409,3,1
9638,2409,5,1
9639,2409,6,2
9640,2410,2,1
9641,2410,3,2
9642,2410,5,2
9643,2410,6,1
9644,2411,2,1
9645,2411,3,1
9646,2411,5,2
9647,2411,6,1
9648,2412,2,1
9649,2412,3,1
9650,2412,5,1
9651,2412,6,2
9652,2413,2,1
9653,2413,3,2
9654,2413,5,2
9655,2413,6,1
9656,2414,-1,-1
9657,2414,3,2
9658,2414,5,2
9659,2414,6,1
9660,2415,2,1
9661,2415,3,2
9662,2415,5,1
9663,2415,6,1
9664,2416,2,2
9665,2416,3,2
9666,2416,5,1
9667,2416,6,1
9668,2417,2,1
9669,2417,3,2
9670,2417,5,1
9671,2417,6,2
9672,2418,2,2
9673,2418,3,2
9674,2418,5,1
9675,2418,6,2
9676,2419,2,1
9677,2419,3,2
9678,2419,5,2
9679,2419,6,2
9680,2420,2,2
9681,2420,3,1
9682,2420,5,2
9683,2420,6,2
9684,2421,2,2
9685,2421,3,1
9686,2421,5,1
9687,2421,6,1
9688,2422,2,1
9689,2422,3,2
9690,2422,5,1
9691,2422,6,1
9692,2423,2,2
9693,2423,3,2
9694,2423,5,1
9695,2423,6,1
9696,2424,2,1
9697,2424,3,2
9698,2424,5,2
9699,2424,6,2
9700,2425,2,1
9701,2425,3,1
9702,2425,5,1
9703,2425,6,2
9704,2426,2,2
9705,2426,3,1
9706,2426,5,1
9707,2426,6,1
9708,2427,2,1
9709,2427,3,2
9710,2427,5,1
9711,2427,6,2
9712,2428,2,2
9713,2428,3,1
9714,2428,5,3
9715,2428,6,2
9716,2429,2,1
9717,2429,3,2
9718,2429,5,1
9719,2429,6,1
9720,2430,2,2
9721,2430,3,2
9722,2430,5,2
9723,2430,6,1
9724,2431,2,2
9725,2431,3,3
9726,2431,5,2
9727,2431,6,2
9728,2432,2,1
9729,2432,3,2
9730,2432,5,2
9731,2432,6,2
9732,2433,2,2
9733,2433,-1,-1
9734,2433,5,2
9735,2433,6,2
9736,2434,2,1
9737,2434,3,2
9738,2434,5,2
9739,2434,6,2
9740,2435,2,1
9741,2435,3,1
9742,2435,5,2
9743,2435,6,2
9744,2436,2,2
9745,2436,3,2
9746,2436,5,1
9747,2436,6,1
9748,2437,2,1
9749,2437,-1,-1
9750,2437,5,1
9751,2437,6,2
9752,2438,2,2
9753,2438,3,1
9754,2438,5,2
9755,2438,6,1
9756,2439,2,1
9757,2439,3,1
9758,2439,5,1
9759,2439,6,1
9760,2440,2,1
9761,2440,3,2
9762,2440,5,2
9763,2440,6,2
9764,2441,2,1
9765,2441,3,2
9766,2441,5,1
9767,2441,6,2
9768,2442,2,1
9769,2442,3,1
9770,2442,5,2
9771,2442,6,2
9772,2443,2,1
9773,2443,3,1
9774,2443,5,1
9775,2443,6,1
9776,2444,2,1
9777,2444,3,1
9778,2444,5,1
9779,2444,6,2
9780,2445,2,1
9781,2445,3,2
9782,2445,5,1
9783,2445,6,1
9784,2446,2,2
9785,2446,3,1
9786,2446,5,2
9787,2446,6,1
9788,2447,2,2
9789,2447,3,2
9790,2447,5,1
9791,2447,6,1
9792,2448,2,1
9793,2448,3,1
9794,2448,5,1
9795,2448,-1,-1
9796,2449,2,1
9797,2449,3,1
9798,2449,5,1
9799,2449,6,1
9800,2450,2,1
9801,2450,3,1
9802,2450,5,2
9803,2450,6,1
9804,2451,2,2
9805,2451,3,1
9806,2451,5,1
9807,2451,6,2
9808,2452,2,2
9809,2452,3,2
9810,2452,5,2
9811,2452,6,2
9812,2453,2,1
9813,2453,3,2
9814,2453,5,1
9815,2453,6,2
9816,2454,2,2
9817,2454,3,2
9818,2454,5,2
9819,2454,6,2
9820,2455,2,1
9821,2455,3,1
9822,2455,5,1
9823,2455,6,1
9824,2456,2,2
9825,2456,3,2
9826,2456,5,1
9827,2456,6,1
9828,2457,2,1
9829,2457,3,1
9830,2457,5,1
9831,2457,6,2
9832,2458,2,2
9833,2458,3,2
9834,2458,5,1
9835,2458,6,2
9836,2459,2,2
9837,2459,-1,-1
9838,2459,5,2
9839,2459,6,1
9840,2460,2,2
9841,2460,3,1
9842,2460,5,1
9843,2460,6,2
9844,2461,2,2
9845,2461,3,1
9846,2461,5,2
9847,2461,6,1
9848,2462,2,2
9849,2462,3,2
9850,2462,5,2
9851,2462,6,1
9852,2463,2,1
9853,2463,3,1
9854,2463,5,2
9855,2463,6,2
9856,2464,2,1
9857,2464,3,2
9858,2464,5,2
9859,2464,6,2
9860,2465,2,2
9861,2465,3,1
9862,2465,5,1
9863,2465,6,2
9864,2466,2,2
9865,2466,3,1
9866,2466,5,2
9867,2466,6,1
9868,2467,2,1
9869,2467,3,2
9870,2467,5,2
9871,2467,6,2
9872,2468,2,1
9873,2468,3,2
9874,2468,5,1
9875,2468,6,1
9876,2469,2,2
9877,2469,3,1
9878,2469,5,1
9879,2469,6,1
9880,2470,2,1
9881,2470,3,1
9882,2470,5,2
9883,2470,6,1
9884,2471,2,1
9885,2471,3,2
9886,2471,5,1
9887,2471,6,2
9888,2472,2,1
9889,2472,3,1
9890,2472,5,1
9891,2472,6,2
9892,2473,2,1
9893,2473,3,2
9894,2473,5,1
9895,2473,6,1
9896,2474,2,1
9897,2474,3,2
9898,2474,5,1
9899,2474,6,1
9900,2475,2,1
9901,2475,3,1
9902,2475,5,2
9903,2475,6,1
9904,2476,2,2
9905,2476,3,1
9906,2476,5,2
9907,2476,6,1
9908,2477,2,2
9909,2477,3,2
9910,2477,5,1
9911,2477,6,1
9912,2478,2,2
9913,2478,3,1
9914,2478,5,1
9915,2478,6,1
9916,2479,2,1
9917,2479,3,2
9918,2479,5,1
9919,2479,6,1
9920,2480,2,1
9921,2480,3,2
9922,2480,5,1
9923,2480,6,1
9924,2481,2,1
9925,2481,3,2
9926,2481,5,1
9927,2481,6,1
9928,2482,2,1
9929,2482,3,1
9930,2482,5,2
9931,2482,6,2
9932,2483,2,2
9933,2483,3,1
9934,2483,5,2
9935,2483,6,2
9936,2484,2,2
9937,2484,3,2
9938,2484,5,1
9939,2484,6,2
9940,2485,2,2
9941,2485,3,2
9942,2485,5,1
9943,2485,6,1
9944,2486,2,1
9945,2486,3,1
9946,2486,5,2
9947,2486,6,2
9948,2487,2,2
9949,2487,3,1
9950,2487,5,1
9951,2487,6,1
9952,2488,2,1
9953,2488,3,1
9954,2488,5,2
9955,2488,6,2
9956,2489,2,1
9957,2489,3,2
9958,2489,5,1
9959,2489,6,1
9960,2490,2,1
9961,2490,3,1
9962,2490,5,1
9963,2490,6,1
9964,2491,2,2
9965,2491,3,2
9966,2491,5,2
9967,2491,6,1
9968,2492,2,1
9969,2492,3,2
9970,2492,5,2
9971,2492,6,1
9972,2493,2,2
9973,2493,3,2
9974,2493,5,2
9975,2493,6,2
9976,2494,2,1
9977,2494,3,1
9978,2494,5,2
9979,2494,6,2
9980,2495,2,1
9981,2495,3,1
9982,2495,5,1
9983,2495,6,2
9984,2496,2,1
9985,2496,3,2
9986,2496,5,1
9987,2496,6,1
9988,2497,2,2
9989,2497,3,2
9990,2497,5,1
9991,2497,6,1
9992,2498,2,1
9993,2498,3,2
9994,2498,5,1
9995,2498,6,1
9996,2499,2,2
9997,2499,3,1
9998,2499,5,1
9999,2499,6,1
10000,2500,2,2
10001,2500,3,2
10002,2500,5,1
10003,2500,6,2
10004,2501,2,2
10005,2501,3,2
10006,2501,5,2
10007,2501,6,2
10008,2502,2,2
10009,2502,3,1
10010,2502,5,2
10011,2502,6,2
10012,2503,-1,-1
10013,2503,3,1
10014,2503,5,1
10015,2503,6,2
10016,2504,2,2
10017,2504,3,2
10018,2504,5,2
10019,2504,6,1
10020,2505,2,1
10021,2505,3,2
10022,2505,5,3
10023,2505,6,2
10024,2506,2,2
10025,2506,3,2
10026,2506,5,2
10027,2506,6,2
10028,2507,2,1
10029,2507,3,1
10030,2507,5,2
10031,2507,6,2
10032,2508,2,1
10033,2508,3,1
10034,2508,5,1
10035,2508,6,2
10036,2509,2,2
10037,2509,3,2
10038,2509,5,1
10039,2509,6,2
10040,2510,2,2
10041,2510,3,1
10042,2510,-1,-1
10043,2510,6,2
10044,2511,2,2
10045,2511,3,1
10046,2511,5,2
10047,2511,6,1
10048,2512,2,1
10049,2512,3,1
10050,2512,5,2
10051,2512,6,3
10052,2513,2,1
10053,2513,3,1
10054,2513,5,2
10055,2513,6,2
10056,2514,2,1
10057,2514,3,1
10058,2514,5,1
10059,2514,-1,-1
10060,2515,2,2
10061,2515,3,2
10062,2515,5,2
10063,2515,6,2
10064,2516,2,2
10065,2516,3,2
10066,2516,5,2
10067,2516,-1,-1
10068,2517,2,2
10069,2517,3,1
10070,2517,5,1
10071,2517,6,2
10072,2518,2,1
10073,2518,3,2
10074,2518,5,1
10075,2518,6,1
10076,2519,2,2
10077,2519,3,2
10078,2519,5,2
10079,2519,6,2
10080,2520,2,2
10081,2520,3,1
10082,2520,5,1
10083,2520,6,2
10084,2521,2,1
10085,2521,3,1
10086,2521,5,2
10087,2521,6,2
10088,2522,2,2
10089,2522,3,1
10090,2522,5,1
10091,2522,6,2
10092,2523,2,2
10093,2523,-1,-1
10094,2523,5,1
10095,2523,6,2
10096,2524,2,1
10097,2524,-1,-1
10098,2524,5,2
10099,2524,6,2
10100,2525,2,1
10101,2525,3,1
10102,2525,5,1
10103,2525,6,1
10104,2526,2,2
10105,2526,3,2
10106,2526,5,2
10107,2526,6,1
10108,2527,2,2
10109,2527,3,1
10110,2527,-1,-1
10111,2527,6,2
10112,2528,2,1
10113,2528,3,1
10114,2528,5,2
10115,2528,6,2
10116,2529,2,2
10117,2529,3,2
10118,2529,5,2
10119,2529,6,1
10120,2530,2,1
10121,2530,3,2
10122,2530,5,1
10123,2530,-1,-1
10124,2531,2,1
10125,2531,3,2
10126,2531,5,2
10127,2531,6,2
10128,2532,2,1
10129,2532,3,2
10130,2532,5,2
10131,2532,6,2
10132,2533,2,1
10133,2533,3,1
10134,2533,5,1
10135,2533,6,1
10136,2534,2,1
10137,2534,3,2
10138,2534,5,2
10139,2534,6,2
10140,2535,2,2
10141,2535,3,1
10142,2535,5,1
10143,2535,6,1
10144,2536,2,1
10145,2536,3,2
10146,2536,5,2
10147,2536,6,1
10148,2537,2,1
10149,2537,3,2
10150,2537,5,2
10151,2537,6,2
10152,2538,2,2
10153,2538,3,3
10154,2538,5,2
10155,2538,6,2
10156,2539,2,1
10157,2539,3,2
10158,2539,5,2
10159,2539,6,1
10160,2540,2,1
10161,2540,3,2
10162,2540,5,1
10163,2540,6,2
10164,2541,2,1
10165,2541,3,1
10166,2541,5,2
10167,2541,6,1
10168,2542,2,1
10169,2542,3,2
10170,2542,5,1
10171,2542,6,1
10172,2543,2,1
10173,2543,3,2
10174,2543,5,2
10175,2543,6,1
10176,2544,2,2
10177,2544,3,1
10178,2544,5,2
10179,2544,6,2
10180,2545,2,2
10181,2545,3,1
10182,2545,5,2
10183,2545,6,1
10184,2546,2,2
10185,2546,3,1
10186,2546,5,2
10187,2546,6,2
10188,2547,2,1
10189,2547,3,2
10190,2547,5,1
10191,2547,-1,-1
10192,2548,2,2
10193,2548,3,1
10194,2548,5,1
10195,2548,6,2
10196,2549,2,2
10197,2549,3,2
10198,2549,5,2
10199,2549,6,1
10200,2550,2,2
10201,2550,3,2
10202,2550,5,1
10203,2550,6,1
10204,2551,2,2
10205,2551,3,2
10206,2551,5,2
10207,2551,6,2
10208,2552,2,1
10209,2552,3,2
10210,2552,5,2
10211,2552,6,1
10212,2553,2,2
10213,2553,3,1
10214,2553,5,2
10215,2553,6,1
10216,2554,2,1
10217,2554,3,2
10218,2554,5,2
10219,2554,6,2
10220,2555,2,1
10221,2555,3,1
10222,2555,5,1
10223,2555,6,2
10224,2556,2,2
10225,2556,3,1
10226,2556,5,2
10227,2556,6,1
10228,2557,2,2
10229,2557,3,2
10230,2557,5,1
10231,2557,6,1
10232,2558,2,2
10233,2558,3,2
10234,2558,5,2
10235,2558,6,2
10236,2559,-1,-1
10237,2559,3,2
10238,2559,5,2
10239,2559,6,2
10240,2560,2,2
10241,2560,3,1
10242,2560,5,2
10243,2560,6,2
10244,2561,2,1
10245,2561,3,2
10246,2561,5,1
10247,2561,6,1
10248,2562,2,2
10249,2562,3,1
10250,2562,5,2
10251,2562,6,2
10252,2563,2,1
10253,2563,3,1
10254,2563,5,1
10255,2563,6,1
10256,2564,2,1
10257,2564,-1,-1
10258,2564,5,1
10259,2564,6,1
10260,2565,2,2
10261,2565,3,2
10262,2565,5,1
10263,2565,6,2
10264,2566,2,2
10265,2566,3,1
10266,2566,5,1
10267,2566,6,2
10268,2567,2,1
10269,2567,3,1
10270,2567,5,1
10271,2567,6,1
10272,2568,2,2
10273,2568,3,1
10274,2568,5,2
10275,2568,6,1
10276,2569,2,2
10277,2569,3,1
10278,2569,5,1
10279,2569,6,1
10280,2570,2,1
10281,2570,3,2
10282,2570,5,2
10283,2570,6,2
10284,2571,2,2
10285,2571,3,2
10286,2571,5,2
10287,2571,6,1
10288,2572,2,1
10289,2572,3,2
10290,2572,5,2
10291,2572,6,1
10292,2573,2,1
10293,2573,3,2
10294,2573,5,2
10295,2573,6,2
10296,2574,2,1
10297,2574,3,1
10298,2574,5,2
10299,2574,6,2
10300,2575,2,2
10301,2575,3,1
10302,2575,5,1
10303,2575,6,2
10304,2576,2,1
10305,2576,3,2
10306,2576,5,1
10307,2576,6,1
10308,2577,2,2
10309,2577,3,2
10310,2577,5,1
10311,2577,6,1
10312,2578,2,2
10313,2578,3,2
10314,2578,5,2
10315,2578,6,2
10316,2579,2,2
10317,2579,3,2
10318,2579,5,2
10319,2579,6,2
10320,2580,2,1
10321,2580,3,2
10322,2580,5,1
10323,2580,6,2
10324,2581,2,2
10325,2581,3,1
10326,2581,5,1
10327,2581,6,1
10328,2582,2,2
10329,2582,3,2
10330,2582,5,1
10331,2582,6,1
10332,2583,2,2
10333,2583,3,2
10334,2583,5,1
10335,2583,6,1
10336,2584,2,1
10337,2584,3,2
10338,2584,5,2
10339,2584,6,1
10340,2585,2,1
10341,2585,3,3
10342,2585,5,1
10343,2585,6,1
10344,2586,2,2
10345,2586,3,2
10346,2586,5,1
10347,2586,6,1
10348,2587,2,2
10349,2587,3,2
10350,2587,5,1
10351,2587,6,1
10352,2588,2,2
10353,2588,-1,-1
10354,2588,5,1
10355,2588,6,1
10356,2589,2,1
10357,2589,3,2
10358,2589,5,2
10359,2589,6,2
10360,2590,2,2
10361,2590,3,1
10362,2590,5,2
10363,2590,6,1
10364,2591,2,2
10365,2591,3,1
10366,2591,5,1
10367,2591,6,1
10368,2592,2,1
10369,2592,3,2
10370,2592,5,1
10371,2592,6,2
10372,2593,2,2
10373,2593,3,2
10374,2593,5,2
10375,2593,6,1
10376,2594,2,2
10377,2594,3,2
10378,2594,5,1
10379,2594,6,1
10380,2595,2,1
10381,2595,3,2
10382,2595,5,2
10383,2595,6,1
10384,2596,2,1
10385,2596,3,2
10386,2596,5,2
10387,2596,6,1
10388,2597,2,1
10389,2597,3,2
10390,2597,5,3
10391,2597,6,2
10392,2598,2,1
10393,2598,-1,-1
10394,2598,5,1
10395,2598,6,2
10396,2599,2,2
10397,2599,3,1
10398,2599,5,2
10399,2599,6,2
10400,2600,2,2
10401,2600,3,1
10402,2600,5,2
10403,2600,6,2
10404,2601,2,2
10405,2601,3,1
10406,2601,5,2
10407,2601,6,2
10408,2602,-1,-1
10409,2602,3,2
10410,2602,5,1
10411,2602,6,1
10412,2603,-1,-1
10413,2603,3,2
10414,2603,5,1
10415,2603,6,1
10416,2604,2,2
10417,2604,3,2
10418,2604,5,2
10419,2604,6,1
10420,2605,2,2
10421,2605,3,1
10422,2605,5,2
10423,2605,6,2
10424,2606,2,2
10425,2606,3,1
10426,2606,5,2
10427,2606,6,1
10428,2607,2,2
10429,2607,3,1
10430,2607,5,2
10431,2607,6,2
10432,2608,2,2
10433,2608,3,1
10434,2608,5,1
10435,2608,6,2
10436,2609,2,2
10437,2609,3,1
10438,2609,5,2
10439,2609,6,1
10440,2610,2,2
10441,2610,3,1
10442,2610,5,2
10443,2610,6,1
10444,2611,2,1
10445,2611,3,1
10446,2611,5,2
10447,2611,6,2
10448,2612,2,1
10449,2612,-1,-1
10450,2612,5,2
10451,2612,6,2
10452,2613,2,1
10453,2613,3,1
10454,2613,5,2
10455,2613,6,2
10456,2614,2,2
10457,2614,3,2
10458,2614,5,2
10459,2614,6,2
10460,2615,2,1
10461,2615,3,1
10462,2615,5,1
10463,2615,6,2
10464,2616,2,1
10465,2616,3,2
10466,2616,5,2
10467,2616,6,2
10468,2617,-1,-1
10469,2617,3,1
10470,2617,5,2
10471,2617,6,2
10472,2618,2,1
10473,2618,3,1
10474,2618,5,2
10475,2618,6,1
10476,2619,2,1
10477,2619,3,2
10478,2619,5,2
10479,2619,6,3
10480,2620,2,1
10481,2620,3,1
10482,2620,5,2
10483,2620,6,1
10484,2621,2,2
10485,2621,3,1
10486,2621,5,2
10487,2621,6,2
10488,2622,2,2
10489,2622,3,1
10490,2622,5,1
10491,2622,6,1
10492,2623,2,2
10493,2623,3,1
10494,2623,5,3
10495,2623,6,2
10496,2624,2,1
10497,2624,3,2
10498,2624,5,2
10499,2624,6,2
10500,2625,2,2
10501,2625,3,1
10502,2625,5,1
10503,2625,6,1
10504,2626,2,1
10505,2626,3,2
10506,2626,5,2
10507,2626,6,1
10508,2627,2,1
10509,2627,3,1
10510,2627,5,1
10511,2627,6,2
10512,2628,2,2
10513,2628,3,2
10514,2628,5,2
10515,2628,6,1
10516,2629,2,2
10517,2629,3,1
10518,2629,5,2
10519,2629,6,1
10520,2630,2,2
10521,2630,3,1
10522,2630,5,2
10523,2630,6,2
10524,2631,2,1
10525,2631,3,1
10526,2631,5,1
10527,2631,6,2
10528,2632,-1,-1
10529,2632,3,1
10530,2632,5,2
10531,2632,6,1
10532,2633,2,3
10533,2633,3,2
10534,2633,5,1
10535,2633,6,1
10536,2634,2,1
10537,2634,3,2
10538,2634,5,2
10539,2634,6,2
10540,2635,2,2
10541,2635,3,1
10542,2635,5,1
10543,2635,6,1
10544,2636,2,2
10545,2636,3,1
10546,2636,5,1
10547,2636,6,2
10548,2637,2,2
10549,2637,3,2
10550,2637,5,2
10551,2637,6,1
10552,2638,2,1
10553,2638,3,2
10554,2638,5,2
10555,2638,6,2
10556,2639,2,1
10557,2639,3,2
10558,2639,5,2
10559,2639,6,2
10560,2640,2,2
10561,2640,3,2
10562,2640,-1,-1
10563,2640,-1,-1
10564,2641,2,2
10565,2641,-1,-1
10566,2641,5,2
10567,2641,6,1
10568,2642,2,2
10569,2642,3,2
10570,2642,5,2
10571,2642,-1,-1
10572,2643,2,2
10573,2643,3,1
10574,2643,5,2
10575,2643,6,2
10576,2644,2,2
10577,2644,3,2
10578,2644,5,2
10579,2644,6,2
10580,2645,2,2
10581,2645,3,2
10582,2645,5,1
10583,2645,6,1
10584,2646,2,1
10585,2646,3,1
10586,2646,5,2
10587,2646,6,2
10588,2647,2,1
10589,2647,3,1
10590,2647,5,1
10591,2647,6,1
10592,2648,2,2
10593,2648,3,1
10594,2648,5,2
10595,2648,6,1
10596,2649,2,2
10597,2649,3,2
10598,2649,5,2
10599,2649,6,1
10600,2650,2,2
10601,2650,3,1
10602,2650,5,1
10603,2650,6,1
10604,2651,2,1
10605,2651,3,1
10606,2651,5,2
10607,2651,-1,-1
10608,2652,2,2
10609,2652,3,2
10610,2652,5,2
10611,2652,6,1
10612,2653,2,2
10613,2653,3,1
10614,2653,5,2
10615,2653,6,1
10616,2654,2,1
10617,2654,3,1
10618,2654,5,1
10619,2654,6,1
10620,2655,2,2
10621,2655,3,1
10622,2655,5,1
10623,2655,6,1
10624,2656,2,1
10625,2656,3,2
10626,2656,5,2
10627,2656,-1,-1
10628,2657,2,4
10629,2657,3,1
10630,2657,5,2
10631,2657,6,2
10632,2658,2,1
10633,2658,3,1
10634,2658,5,1
10635,2658,6,1
10636,2659,2,2
10637,2659,3,1
10638,2659,5,2
10639,2659,6,2
10640,2660,2,1
10641,2660,3,2
10642,2660,5,1
10643,2660,6,1
10644,2661,2,2
10645,2661,3,1
10646,2661,5,2
10647,2661,6,1
10648,2662,2,2
10649,2662,3,1
10650,2662,5,2
10651,2662,6,2
10652,2663,2,2
10653,2663,3,1
10654,2663,5,2
10655,2663,6,2
10656,2664,2,1
10657,2664,3,2
10658,2664,5,1
10659,2664,6,2
10660,2665,2,1
10661,2665,3,1
10662,2665,5,2
10663,2665,6,2
10664,2666,2,2
10665,2666,3,1
10666,2666,5,2
10667,2666,6,2
10668,2667,2,2
10669,2667,3,2
10670,2667,5,1
10671,2667,6,1
10672,2668,2,1
10673,2668,3,2
10674,2668,5,2
10675,2668,6,1
10676,2669,2,1
10677,2669,3,2
10678,2669,5,2
10679,2669,6,1
10680,2670,2,2
10681,2670,3,2
10682,2670,5,2
10683,2670,6,2
10684,2671,2,2
10685,2671,3,1
10686,2671,5,2
10687,2671,6,2
10688,2672,2,1
10689,2672,3,2
10690,2672,5,1
10691,2672,6,1
10692,2673,2,2
10693,2673,3,2
10694,2673,5,1
10695,2673,6,1
10696,2674,2,2
10697,2674,3,2
10698,2674,5,2
10699,2674,6,1
10700,2675,2,1
10701,2675,3,2
10702,2675,5,2
10703,2675,6,2
10704,2676,-1,-1
10705,2676,3,1
10706,2676,5,2
10707,2676,6,2
10708,2677,2,1
10709,2677,3,2
10710,2677,5,1
10711,2677,6,1
10712,2678,2,2
10713,2678,3,1
10714,2678,5,2
10715,2678,-1,-1
10716,2679,2,2
10717,2679,3,2
10718,2679,5,1
10719,2679,6,2
10720,2680,2,1
10721,2680,3,1
10722,2680,5,2
10723,2680,6,1
10724,2681,2,2
10725,2681,3,2
10726,2681,5,2
10727,2681,6,2
10728,2682,2,1
10729,2682,3,2
10730,2682,5,2
10731,2682,6,2
10732,2683,2,2
10733,2683,3,1
10734,2683,-1,-1
10735,2683,6,2
10736,2684,2,2
10737,2684,3,1
10738,2684,5,1
