,p_ab_per,t,p_l,p_ab
617,0.5454411393416249,352.14955739997146,3,0.23004038491717985
618,0.5515646314905265,354.8391492521629,3,0.22620052430343154
619,0.5557511047437809,357.29469341256186,3,0.22283984540856847
620,0.5578753053309964,359.84712165653434,3,0.21992431949080524
621,0.5573815952761939,362.79537491855183,3,0.21660636243852496
622,0.553055591630705,366.0446704455921,3,0.21322780137343111
623,0.5472876852664577,368.74595462693617,3,0.21040655631174307
624,0.5388636129513178,371.44723880828025,3,0.20781928297779623
625,0.5256176391831343,374.59404146266377,3,0.20636253201665133
626,0.5066625848771225,378.1510685012067,3,0.20793940260056185
627,0.4885982304666409,381.16628538857617,3,0.21425746821095487
628,0.46891373113214363,384.18150227594566,3,0.22794073908389437
629,0.44533616294043726,387.6279038782247,3,0.2551731968034357
630,0.4194410801542765,391.47150840832154,3,0.29818443252399446
631,0.3991614027342916,394.81635554229973,3,0.3381299764209821
632,0.381382932399886,398.1612026762779,3,0.3714197668558845
633,0.3641402114170403,401.9014485033041,3,0.39677946798052577
634,0.34677202057213213,405.98614793904295,3,0.41292851542192804
635,0.33156960470280106,409.46784576737065,3,0.4194772777937535
636,0.3142249075914921,412.94954359569834,3,0.42076867822687813
637,0.29215344133055443,416.81076806094615,3,0.4184095879407091
638,0.2670241985344779,420.8626121299781,3,0.41142414597920135
639,0.24816138643630362,423.9838450593244,3,0.40358707870887695
640,0.23006974467946917,427.10507798867064,3,0.39376024387248165
641,0.21040664544066773,430.82838712894363,3,0.38006875753410235
642,0.19493621339061992,434.2556835676906,3,0.3664167769576675
643,0.18217790643024315,437.68298000643756,3,0.35360719790391787
644,0.17248347449871182,441.0052531222616,3,0.34437981207477847
645,0.1661323765032869,443.9953438578766,3,0.34176840324908747
646,0.16219282902957458,446.73393453146707,3,0.34631213870200656
647,0.1598063203503921,449.52068997827274,3,0.3575354439498888
648,0.15898134491754987,452.5456001001923,3,0.37434503063857977
649,0.15994983652633396,455.6369076749792,3,0.39094859912284613
650,0.1622664798051798,458.0663862533537,3,0.39988716550143383
651,0.16559736362287927,460.49586483172817,3,0.40426964480876404
652,0.17078773436325811,463.3714118787581,3,0.404607849838857
653,0.1771135184413986,466.1287562713627,3,0.4006990031180507
654,0.18467650607698496,468.8861006639673,3,0.3942147813523052
655,0.19310023787718097,471.5324394773949,3,0.38713634127813984
656,0.20193497464231772,473.9735713581337,3,0.3803147082609668
657,0.21133657866513716,476.33927512736295,3,0.3725964242308678
658,0.22201413890112476,478.83920546391846,3,0.3647548223489798
659,0.23422262745070488,481.524644585493,3,0.3568973104617439
660,0.24699045394631902,484.1912588155781,3,0.34959164289985195
661,0.2592126228145053,486.6189741367565,3,0.3441397183078572
662,0.2708388214360555,488.8666894707633,3,0.339575001425886
663,0.28277269077630396,491.20049804639194,3,0.33548268296071176
664,0.2955305471488309,493.80324197543166,3,0.33221168908707005
665,0.30769678747961227,496.5321784688816,3,0.32991742410611125
666,0.3165844076557042,498.7248277835834,3,0.3296498748610182
667,0.32110021414396805,500.0,3,0.3290359111682066
1169,0.32110021414396805,500.0,3,0.3290359111682066
1170,0.32169665813641035,500.1889612794882,3,0.32920101227782883
1171,0.3266992627858248,502.07857407436984,3,0.3301477878298767
1172,0.33053286973091284,505.92986963835716,3,0.3340427691474004
1173,0.3282375598100785,508.16002876576806,3,0.33713851799264666
1174,0.3218958651749379,510.39018789317896,3,0.3416302199761392
1175,0.3065514033516483,513.3654252580938,3,0.34870309184481424
1176,0.290169032938549,515.6313053780638,3,0.3551812046232918
1177,0.27010353431707534,517.8971854980339,3,0.3615625516918388
1178,0.24397268614984122,520.4729632614941,3,0.37006104495470976
1179,0.21922780501555364,522.8014273442475,3,0.37817590674121054
1180,0.19559310268819735,525.129891427001,3,0.38660903866838725
1181,0.17607234805536703,527.5424453208421,3,0.39581237882764025
1182,0.16955161964908946,529.9779423294578,3,0.4048529895252211
1183,0.19412409805336034,532.4146817862614,3,0.41348524663023456
1184,0.2908653544692932,535.0828648364205,3,0.4225068160568651
1185,0.48576056268599044,538.2805987685441,3,0.4322652146115464
1186,0.6155630411939751,541.2469883661878,3,0.43962782275413753
1187,0.6672148731163711,543.6100556913024,3,0.4435731113773341
1188,0.6967204527298312,545.973123016417,3,0.44653708151517263
1189,0.7175943380151035,548.3720500607509,3,0.448202768331268
1190,0.7347435109895858,550.786518116257,3,0.4480719999289048
1191,0.750577289888892,553.3208658598282,3,0.44622764424724237
1192,0.7661854927237838,556.1084137090139,3,0.44160641485386143
1193,0.78227823167244,559.3720821843398,3,0.4325496207072728
1194,0.7985167212732285,563.4378145126984,3,0.4166324152842991
1195,0.8075180236286132,566.1375831398376,3,0.40262635321114515
1196,0.8145725462102986,568.8373517669767,3,0.38699888247229774
1197,0.8196902715307564,572.1298160532596,3,0.3654045313376543
1198,0.8214940164934768,575.1383385132638,3,0.3438564418225093
1199,0.8199691126544005,578.1468609732681,3,0.32073829246757063
1200,0.8139129021001997,581.3380213741997,3,0.2952028106549001
1201,0.8015795135609993,584.7639663189233,3,0.2680063432560838
1202,0.7811063635489864,588.3846550413805,3,0.24005232895504375
1203,0.7508487997038193,592.1374391500021,3,0.21303328662921098
1204,0.7087176870782412,596.0388943394532,3,0.18844763702679623
1205,0.6518780958336626,600.1749889401768,3,0.1690093780634002
1206,0.5791200430950315,604.5722480187226,3,0.15972083084281827
1207,0.4950681460036227,609.0943008946443,3,0.16606692794820838
1208,0.40968551609937287,613.526796641589,3,0.1859661513015405
1209,0.3308421151066039,617.7906431961163,3,0.2061774221464734
1210,0.2606955181360576,622.0072835556399,3,0.21796010927132492
1211,0.1997245029338466,626.3319962690273,3,0.2239944472900314
1212,0.14996369338022728,630.7361524463852,3,0.23239455343536106
1213,0.11300557298929981,634.9883473917274,3,0.2505237479563759
1214,0.08717799470753401,638.9166157520008,3,0.27527289338150085
1215,0.06874580136090634,642.6200471476202,3,0.29909749580051825
1216,0.054755551223905276,646.3457506372847,3,0.3179187669039881
1217,0.044024677007912044,650.1905518573756,3,0.3320966512819776
1218,0.03703894364317513,653.5589890860622,3,0.3421440827203729
1219,0.03174939645267997,656.9274263147488,3,0.3514080749775745
1220,0.02761166296071175,660.4463313739606,3,0.3612028520431574
1221,0.025012485749575278,663.4144115764008,3,0.3704092319660686
1222,0.023028333077533433,666.382491778841,3,0.38043884907781855
1223,0.02142575776132535,669.595938546737,3,0.3918901881985969
1224,0.020424189054185037,672.3952193726766,3,0.4029643723001604
1225,0.019707235706518927,675.1945001986162,3,0.41474664660217025
1226,0.019199289872301954,678.1437009356646,3,0.4276645804270307
1227,0.01890752318314803,681.0422204158851,3,0.4405146771567187
1228,0.01880881788684249,683.6650926037289,3,0.45222187393145424
1229,0.01883613288699608,686.0716153387269,3,0.4629050462436686
1230,0.01894923317903361,688.5418639312837,3,0.4733230963011862
1231,0.01916145262818727,691.2744630973252,3,0.48359563297097186
1232,0.01947084900293086,694.1294161201367,3,0.4932142859135849
1233,0.019818676356703743,696.4088634701509,3,0.49977193947815096
1234,0.020225425927762487,698.6883108201652,3,0.5056054128018681
1235,0.02079204356474608,701.3769707673328,3,0.5108962491605965
1236,0.02156907112850773,704.3464798415365,3,0.5144858065269996
1237,0.0223618487726272,706.5513274427508,3,0.5161177700624542
1238,0.023369388090751776,708.7561750439651,3,0.5156383972392903
1239,0.025097026891131725,711.5128560171322,3,0.5132715539878159
1240,0.028124754339857876,714.7213204845305,3,0.5078259623148931
1241,0.03152213802498298,717.1754913380616,3,0.5007328012412025
1242,0.03587177463786079,719.6296621915928,3,0.493178166100466
1243,0.042162493933191006,722.6969496439144,3,0.48113889992765874
1244,0.049343722200941346,726.3549365797182,3,0.4639780541949616
1245,0.053522293594904485,728.917426554534,3,0.45063219185991915
1246,0.05684511708685462,731.4799165293498,3,0.4367130701068044
1247,0.06024037765825085,734.6989031504465,3,0.4178266671201465
1248,0.06311368611918954,737.5812975069199,3,0.4006007735440852
1249,0.06619816599832837,740.4636918633933,3,0.383473118921927
1250,0.06968763539841501,743.3069417758577,3,0.3668547081447138
1251,0.07345420132627883,745.9045300784506,3,0.351729107788461
1252,0.07748473061434802,748.2951198657873,3,0.3391129960543876
1253,0.08212152875142353,750.7262961237375,3,0.32727512430923933
1254,0.08784145862423984,753.3851060161421,3,0.3149118647118006
1255,0.09456469960723547,756.1609563905745,3,0.3031853642061813
1256,0.10079250056627144,758.4279569179462,3,0.29428402873856063
1257,0.10755848569536788,760.6949574453179,3,0.2861049814088811
1258,0.11599075312293648,763.3104158294327,3,0.278023252362824
1259,0.12583440227551973,766.1487780163072,3,0.27005277046446374
1260,0.13399025729461106,768.3003950516622,3,0.2647821554989261
1261,0.14244969661431708,770.4520120870174,3,0.25954654285487455
1262,0.15296361033189715,773.0662575914257,3,0.25360446888281496
1263,0.16350192360855637,775.6644243598405,3,0.24857973659586963
1264,0.1737349050386605,778.2625911282552,3,0.243663594464799
1265,0.18266788441109885,780.6885886856658,3,0.23914578029209732
1266,0.1899201223221492,782.9018820196029,3,0.2351934719189361
1267,0.19566630656304557,785.1081242895581,3,0.23026493375012907
1268,0.1996081167454286,787.5292727247299,3,0.22543155972115872
1269,0.20034587205055454,790.1392317434371,3,0.2199084665798801
1270,0.1979370990623483,792.326563712845,3,0.21496860533747367
1271,0.19233311796197822,794.5138956822527,3,0.210096089663526
1272,0.18227556443879056,796.959940745545,3,0.20444336272702077
1273,0.16780802231766345,799.5471053627426,3,0.19837774997807625
1274,0.154577909688608,801.5889199547149,3,0.19380308413658304
1275,0.1401541242615399,803.6307345466872,3,0.19035822254819404
1276,0.12252094596341667,806.0438211397121,3,0.1872784918312635
1277,0.10361319938971339,808.7134381222979,3,0.1862785563540319
1278,0.091487034503688,810.6500554294189,3,0.18775079815263315
1279,0.08149156868025463,812.5866727365396,3,0.19144538470781944
1280,0.0751563767776964,815.0321593104734,3,0.20038672158435464
1281,0.0920488844591208,817.9313862271026,3,0.21581160839375382
1282,0.1998316786687758,821.0859020596954,3,0.2362916583717353
1283,0.40998111862271996,824.1405863919535,3,0.25564073486031746
1284,0.5421584024146557,826.8402063513354,3,0.2699441550558657
1285,0.5914167788001486,828.896822532415,3,0.27855117152385933
1286,0.6201930038821787,830.9534387134946,3,0.2874521083440497
1287,0.6410171851475934,833.0022704901646,3,0.2965345608250356
1288,0.6588173401673254,835.0460855373188,3,0.308404838564381
1289,0.6759085486368692,837.1637066397063,3,0.325578542275561
1290,0.6935631651885433,839.4579501642978,3,0.349890216478735
1291,0.7130340993687825,842.095742695442,3,0.3844294297697427
1292,0.7356669429450431,845.3106371831,3,0.42757563675313387
1293,0.7629610059488431,849.4398539905146,3,0.46771643656528106
1294,0.7963853926446356,855.0292945590968,3,0.48858533556036077
1295,0.8099374368104373,857.4490721439566,3,0.4916284931851308
1296,0.8227347567494376,859.8688497288165,3,0.49145363393211894
1297,0.8408144292251565,863.7558112609101,3,0.48645644835496904
1298,0.8518493815288486,866.0690713662034,3,0.4825925586477121
1299,0.8619810307383015,868.3823314714969,3,0.47545303593596683
1300,0.8742033289738869,871.5783714364247,3,0.46570901756446215
1301,0.8839891887726659,874.2832358926835,3,0.4557677699213634
1302,0.8930036186845439,876.9881003489421,3,0.4442797372484835
1303,0.9012790732983198,879.8048948796502,3,0.43139945629100357
1304,0.9086785642235187,882.5199280862365,3,0.41910794952686126
1305,0.9156336068386437,885.030753922144,3,0.4067558259762472
1306,0.9219162146853956,887.4896266598728,3,0.3945526406186603
1307,0.9276111403182744,890.1398127308646,3,0.3817661437043725
1308,0.9326000880498525,893.0382858204096,3,0.3680634853999402
1309,0.9365554076824988,895.9365520341455,3,0.3551377221048634
